Type,Name,lon,lat
S,Motagua-Polochic2,-92.00789346,15.56261117
S,Motagua-Polochic2,-91.98829217,15.56354457
S,Motagua-Polochic2,-91.97242446,15.56261117
S,Motagua-Polochic2,-91.94815619,15.55981099
S,Motagua-Polochic2,-91.93135508,15.5579442
S,Motagua-Polochic2,-91.90241983,15.55047704
S,Motagua-Polochic2,-91.88655212,15.54487667
S,Motagua-Polochic2,-91.86975101,15.54300988
S,Motagua-Polochic2,-91.84454934,15.53647611
S,Motagua-Polochic2,-91.82214786,15.52620877
S,Motagua-Polochic2,-91.79227922,15.51687482
S,Motagua-Polochic2,-91.758677,15.50007371
S,Motagua-Polochic2,-91.73720892,15.49260655
S,Tonala-Polochic,-92.86708354,15.43263592
S,Tonala-Polochic,-92.85401601,15.42750225
S,Tonala-Polochic,-92.84514876,15.42423537
S,Tonala-Polochic,-92.83534811,15.41583481
S,Tonala-Polochic,-92.82461407,15.40883435
S,Tonala-Polochic,-92.81154654,15.40276728
S,Tonala-Polochic,-92.79334534,15.39296664
S,Tonala-Polochic,-92.77701093,15.38829966
S,Tonala-Polochic,-92.75880973,15.38503278
S,Tonala-Polochic,-92.73314136,15.38223259
S,Tonala-Polochic,-92.71680695,15.37709892
S,Tonala-Polochic,-92.69720566,15.37803232
S,Tonala-Polochic,-92.68600492,15.37709892
S,Tonala-Polochic,-92.67480418,15.37476543
S,Tonala-Polochic,-92.66126995,15.37289864
S,Tonala-Polochic,-92.63886847,15.37103185
S,Tonala-Polochic,-92.62766773,15.36916506
S,Tonala-Polochic,-92.60666634,15.36869837
S,Tonala-Polochic1,-92.74317536,15.42796895
S,Tonala-Polochic1,-92.73687494,15.42493541
S,Tonala-Polochic1,-92.73220797,15.42283528
S,Tonala-Polochic1,-92.72800769,15.42050179
S,Tonala-Polochic1,-92.72147393,15.41840165
S,Tonala-Polochic1,-92.70957314,15.41373467
S,Tonala-Polochic1,-92.70233933,15.41116784
S,Tonala-Polochic1,-92.69650561,15.40790096
S,Tonala-Polochic1,-92.6902052,15.40463407
S,Tonala-Polochic1,-92.68413813,15.40160054
S,Tonala-Polochic1,-92.6792378,15.39810031
S,Tonala-Polochic1,-92.66920381,15.39249994
S,Tonala-Polochic1,-92.66360344,15.3899331
S,Tonala-Polochic1,-92.65380279,15.38596617
S,Tonala-Polochic1,-92.64586893,15.38269929
S,Tonala-Polochic1,-92.63793508,15.37966576
S,Tonala-Polochic1,-92.62603429,15.37616553
S,Tonala-Polochic1,-92.6141335,15.3717319
S,Tonala-Polochic1,-92.60316611,15.36939841
S,Tonala-Polochic1,-92.59336547,15.36659823
S,Tonala-Polochic1,-92.57936454,15.36146456
S,Tonala-Polochic1,-92.55696306,15.35679758
